uuid,pedestrian_entrance_uuid,geometry
walkway_1507,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_1508,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1509,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1510,pedestrian_4959609718,Point (127.0248409 37.4977623)
walkway_1511,pedestrian_4185991284,Point (126.985433 37.4816028)
walkway_1512,pedestrian_3242828917,Point (126.9859904 37.4875291)
walkway_1513,pedestrian_3827338153,Point (127.0063049 37.4913953)
walkway_1514,pedestrian_3827338153,Point (127.0063049 37.4913953)
walkway_1515,pedestrian_12062647538,Point (127.0194307 37.503183)
walkway_1516,pedestrian_3827170303,Point (127.0267984 37.4874932)
walkway_1517,pedestrian_3827671844,Point (127.013954 37.5069239)
walkway_1518,pedestrian_9608955329,Point (127.0291235 37.4929408)
walkway_1519,pedestrian_3089746775,Point (127.0111763 37.4814736)
walkway_1520,pedestrian_9608955311,Point (127.028643 37.4925624)
walkway_1521,pedestrian_3112174491,Point (127.014187 37.494527)
walkway_1522,pedestrian_11428505011,Point (126.9967702 37.4992925)
walkway_1523,pedestrian_1685716274,Point (126.9840998 37.4826849)
walkway_1524,pedestrian_9621002488,Point (127.0251247 37.4970219)
walkway_1525,pedestrian_11428504869,Point (127.0009963 37.5046263)
walkway_1526,pedestrian_3516534049,Point (127.0211946 37.4651904)
walkway_1527,pedestrian_1430655014,Point (127.0245268 37.5016611)
walkway_1528,pedestrian_8489456682,Point (127.0182308 37.515062)
walkway_1529,pedestrian_8553388317,Point (127.0160198 37.5151627)
walkway_1530,pedestrian_11225358146,Point (127.0138837 37.5153537)
walkway_1531,pedestrian_4185991267,Point (126.9854314 37.4788103)
walkway_1532,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1533,pedestrian_3744265302,Point (127.0245751 37.4640353)
walkway_1534,pedestrian_3112174497,Point (127.018228 37.4954887)
walkway_1535,pedestrian_4195788589,Point (126.9828701 37.4937761)
walkway_1536,pedestrian_1962358589,Point (127.0116707 37.4997092)
walkway_1537,pedestrian_9990177480,Point (127.0268022 37.4885524)
walkway_1538,pedestrian_2533109224,Point (126.9861298 37.4966646)
walkway_1539,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_1540,pedestrian_2932857700,Point (127.0145778 37.4931582)
walkway_1541,pedestrian_1925407818,Point (127.0047655 37.4821243)
walkway_1542,pedestrian_4185816724,Point (127.0006484 37.4781149)
walkway_1543,pedestrian_3804191190,Point (126.9864449 37.4877163)
walkway_1544,pedestrian_3011650435,Point (127.0433528 37.4746306)
walkway_1545,pedestrian_8489263448,Point (127.0142468 37.4964903)
walkway_1546,pedestrian_3634017624,Point (127.0156209 37.4566268)
walkway_1547,pedestrian_12062601379,Point (127.0220301 37.5024931)
walkway_1548,pedestrian_4181527978,Point (127.0189489 37.5109787)
walkway_1549,pedestrian_1430674330,Point (127.0073801 37.4832934)
walkway_1550,pedestrian_2622713683,Point (126.9983333 37.4977959)
walkway_1551,pedestrian_3804191213,Point (126.9825392 37.4889141)
walkway_1552,pedestrian_2624211522,Point (126.9879224 37.4967668)
walkway_1553,pedestrian_2861309349,Point (127.0190906 37.512141)
walkway_1554,pedestrian_12061668089,Point (127.0117127 37.5015119)
walkway_1555,pedestrian_11431861572,Point (127.0008284 37.4769628)
walkway_1556,pedestrian_11225358146,Point (127.0138837 37.5153537)
walkway_1557,pedestrian_1962358636,Point (127.0099907 37.4995893)
walkway_1558,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_1559,pedestrian_2622713681,Point (126.9982812 37.4969427)
walkway_1560,pedestrian_2388037861,Point (127.0104481 37.4909964)
walkway_1561,pedestrian_1696934644,Point (126.9875753 37.476164)
walkway_1562,pedestrian_2861309353,Point (127.0195732 37.5111674)
walkway_1563,pedestrian_8488872314,Point (127.0103015 37.5162968)
walkway_1564,pedestrian_4107783314,Point (126.9979936 37.4859163)
walkway_1565,pedestrian_3719486100,Point (126.9963022 37.4845936)
walkway_1566,pedestrian_8488872314,Point (127.0103015 37.5162968)
walkway_1567,pedestrian_1925380075,Point (127.0339953 37.473851)
walkway_1568,pedestrian_11428505004,Point (127.001081 37.505564)
walkway_1569,pedestrian_11431861720,Point (127.0352017 37.4845229)
walkway_1570,pedestrian_8526765366,Point (127.0195128 37.4962452)
walkway_1571,pedestrian_436838063,Point (126.9827592 37.4909123)
walkway_1572,pedestrian_1694783330,Point (127.0414879 37.4835766)
walkway_1573,pedestrian_2110341086,Point (126.986678 37.4773756)
walkway_1574,pedestrian_1925407817,Point (127.0042489 37.4819932)
walkway_1575,pedestrian_5092061478,Point (127.0595492 37.4571518)
walkway_1576,pedestrian_7760193442,Point (127.0046841 37.5063008)
walkway_1577,pedestrian_3825549664,Point (127.0290187 37.4927368)
walkway_1578,pedestrian_1696934644,Point (126.9875753 37.476164)
walkway_1579,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1580,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_1581,pedestrian_3827169531,Point (127.0316171 37.4854699)
walkway_1582,pedestrian_2533109203,Point (126.9897546 37.4939073)
walkway_1583,pedestrian_1925498403,Point (127.0454708 37.4718644)
walkway_1584,pedestrian_1858938797,Point (127.036278 37.4752858)
walkway_1585,pedestrian_4181527979,Point (127.0185658 37.5118019)
walkway_1586,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_1587,pedestrian_3827548457,Point (127.0084843 37.4932032)
walkway_1588,pedestrian_6584407315,Point (127.0234639 37.4618312)
walkway_1589,pedestrian_1430679233,Point (127.0130608 37.4819712)
walkway_1590,pedestrian_436844219,Point (126.9964804 37.4832788)
walkway_1591,pedestrian_3827169495,Point (127.0303689 37.4852247)
walkway_1592,pedestrian_2477340257,Point (127.0220042 37.5044111)
walkway_1593,pedestrian_4185702108,Point (127.0094465 37.4912752)
walkway_1594,pedestrian_4865883248,Point (127.0285415 37.4955416)
walkway_1595,pedestrian_4184618628,Point (127.0400862 37.4729978)
walkway_1596,pedestrian_4146699336,Point (126.9881033 37.4959582)
walkway_1597,pedestrian_4146699336,Point (126.9881033 37.4959582)
walkway_1598,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_1599,pedestrian_2477374752,Point (127.0185706 37.5101954)
walkway_1600,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_1601,pedestrian_9990177480,Point (127.0268022 37.4885524)
walkway_1602,pedestrian_3827547993,Point (127.0135559 37.4905388)
walkway_1603,pedestrian_1962358584,Point (127.0103622 37.5036219)
walkway_1604,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_1605,pedestrian_8489299002,Point (127.0084521 37.5010977)
walkway_1606,pedestrian_6337030231,Point (127.0315724 37.4880322)
walkway_1607,pedestrian_3825549659,Point (127.0289835 37.4910256)
walkway_1608,pedestrian_3827170303,Point (127.0267984 37.4874932)
walkway_1609,pedestrian_2863416043,Point (127.0450871 37.4717244)
walkway_1610,pedestrian_2551950254,Point (126.9867077 37.4983133)
walkway_1611,pedestrian_1430655016,Point (127.0249291 37.5017754)
walkway_1612,pedestrian_2623345914,Point (126.9946976 37.4923286)
walkway_1613,pedestrian_3827258466,Point (127.0190295 37.4864223)
walkway_1614,pedestrian_3827258466,Point (127.0190295 37.4864223)
walkway_1615,pedestrian_9608955139,Point (127.0277424 37.4911868)
walkway_1616,pedestrian_4185834991,Point (126.9943157 37.4852297)
walkway_1617,pedestrian_11225321857,Point (127.014207 37.519852)
walkway_1618,pedestrian_4185991244,Point (126.98217 37.4844705)
walkway_1619,pedestrian_414684380,Point (126.9904803 37.4927747)
walkway_1620,pedestrian_9990177480,Point (127.0268022 37.4885524)
walkway_1621,pedestrian_4907534017,Point (127.011938 37.503367)
walkway_1622,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1623,pedestrian_2510009120,Point (126.9896809 37.4924719)
walkway_1624,pedestrian_3825549669,Point (127.0280194 37.4943002)
walkway_1625,pedestrian_2533109203,Point (126.9897546 37.4939073)
walkway_1626,pedestrian_2295372337,Point (127.019316 37.4948209)
walkway_1627,pedestrian_9284678873,Point (127.0550061 37.4483264)
walkway_1628,pedestrian_2533109191,Point (126.9855258 37.490912)
walkway_1629,pedestrian_11886957400,Point (127.0008967 37.5009145)
walkway_1630,pedestrian_2624211580,Point (126.9854601 37.4911341)
walkway_1631,pedestrian_2863416043,Point (127.0450871 37.4717244)
walkway_1632,pedestrian_11428504893,Point (126.9954898 37.5031365)
walkway_1633,pedestrian_2477265753,Point (127.0200649 37.5101355)
walkway_1634,pedestrian_6337030227,Point (127.0315343 37.4875501)
walkway_1635,pedestrian_3827170306,Point (127.0267013 37.4877003)
walkway_1636,pedestrian_3112865087,Point (127.0187886 37.49564)
walkway_1637,pedestrian_10313078477,Point (127.0025698 37.5053512)
walkway_1638,pedestrian_11431861601,Point (127.0144681 37.4812792)
walkway_1639,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_1640,pedestrian_1962358636,Point (127.0099907 37.4995893)
walkway_1641,pedestrian_436844215,Point (126.998817 37.4796936)
walkway_1642,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_1643,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_1644,pedestrian_4185834992,Point (126.9925818 37.4859042)
walkway_1645,pedestrian_436882882,Point (127.00446 37.48274)
walkway_1646,pedestrian_6337030230,Point (127.03064 37.4886358)
walkway_1647,pedestrian_3827671844,Point (127.013954 37.5069239)
walkway_1648,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_1649,pedestrian_9623456710,Point (127.0246792 37.4961688)
walkway_1650,pedestrian_3827257132,Point (127.0209597 37.4848339)
walkway_1651,pedestrian_3072865233,Point (127.0186854 37.4972507)
walkway_1652,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1653,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1654,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1655,pedestrian_4184618641,Point (127.0421907 37.475479)
walkway_1656,pedestrian_571448678,Point (127.0284792 37.4944511)
walkway_1657,pedestrian_1685686596,Point (126.9839232 37.4787916)
walkway_1658,pedestrian_1962358629,Point (127.010677 37.5019187)
walkway_1659,pedestrian_1925407817,Point (127.0042489 37.4819932)
walkway_1660,pedestrian_3800522728,Point (127.0221028 37.4913836)
walkway_1661,pedestrian_2533109231,Point (126.9862347 37.497781)
walkway_1662,pedestrian_1962358636,Point (127.0099907 37.4995893)
walkway_1663,pedestrian_2863416048,Point (127.0461206 37.4720774)
walkway_1664,pedestrian_3827672518,Point (127.0198436 37.5089519)
walkway_1665,pedestrian_3827672518,Point (127.0198436 37.5089519)
walkway_1666,pedestrian_8488927531,Point (127.0130816 37.5181743)
walkway_1667,pedestrian_11183748448,Point (127.0260353 37.5006742)
walkway_1668,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1669,pedestrian_9608955139,Point (127.0277424 37.4911868)
walkway_1670,pedestrian_1925498480,Point (127.0475944 37.472963)
walkway_1671,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1672,pedestrian_8526765366,Point (127.0195128 37.4962452)
walkway_1673,pedestrian_3072865233,Point (127.0186854 37.4972507)
walkway_1674,pedestrian_1962358623,Point (127.0101882 37.503944)
walkway_1675,pedestrian_1962358629,Point (127.010677 37.5019187)
walkway_1676,pedestrian_3825549664,Point (127.0290187 37.4927368)
walkway_1677,pedestrian_8696495209,Point (127.0133373 37.4812122)
walkway_1678,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_1679,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1680,pedestrian_2861578323,Point (127.0189116 37.512277)
walkway_1681,pedestrian_10313078477,Point (127.0025698 37.5053512)
walkway_1682,pedestrian_1962358583,Point (127.010175 37.5021184)
walkway_1683,pedestrian_1962358617,Point (127.0093392 37.5037131)
walkway_1684,pedestrian_1962358583,Point (127.010175 37.5021184)
walkway_1685,pedestrian_11183748448,Point (127.0260353 37.5006742)
walkway_1686,pedestrian_1685686572,Point (126.9854857 37.4826478)
walkway_1687,pedestrian_436844267,Point (126.9854671 37.4965596)
walkway_1688,pedestrian_2295372338,Point (127.019529 37.4944069)
walkway_1689,pedestrian_9623456710,Point (127.0246792 37.4961688)
walkway_1690,pedestrian_1962358636,Point (127.0099907 37.4995893)
walkway_1691,pedestrian_436837539,Point (127.0466911 37.47238)
walkway_1692,pedestrian_9657758711,Point (127.0289253 37.4873206)
walkway_1693,pedestrian_2623317176,Point (127.0017322 37.4960129)
walkway_1694,pedestrian_4185835029,Point (126.9961644 37.4823227)
walkway_1695,pedestrian_9891988061,Point (127.0187046 37.5159496)
walkway_1696,pedestrian_9657790305,Point (127.029404 37.486286)
walkway_1697,pedestrian_9990177480,Point (127.0268022 37.4885524)
walkway_1698,pedestrian_3827548023,Point (127.0132737 37.4916509)
walkway_1699,pedestrian_4147017218,Point (127.0078686 37.5076354)
walkway_1700,pedestrian_1962358596,Point (127.0113085 37.5012701)
walkway_1701,pedestrian_9990177480,Point (127.0268022 37.4885524)
walkway_1702,pedestrian_4899542164,Point (127.0106934 37.5040778)
walkway_1703,pedestrian_4984365472,Point (127.0225295 37.5082729)
walkway_1704,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_1705,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_1706,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_1707,pedestrian_9711449064,Point (127.0207074 37.4913765)
walkway_1708,pedestrian_2861309352,Point (127.0194211 37.5114785)
walkway_1709,pedestrian_9711449034,Point (127.0208901 37.4920751)
walkway_1710,pedestrian_4185715621,Point (127.0058814 37.4817311)
walkway_1711,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1712,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_1713,pedestrian_4185920046,Point (126.9865145 37.477017)
walkway_1714,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_1715,pedestrian_5237800474,Point (127.0238612 37.5033805)
walkway_1716,pedestrian_2623456112,Point (126.9922055 37.4913182)
walkway_1717,pedestrian_2624211615,Point (126.9888526 37.4935397)
walkway_1718,pedestrian_1962358609,Point (127.0091974 37.4986412)
walkway_1719,pedestrian_11428504869,Point (127.0009963 37.5046263)
walkway_1720,pedestrian_11428504869,Point (127.0009963 37.5046263)
walkway_1721,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_1722,pedestrian_12062601379,Point (127.0220301 37.5024931)
walkway_1723,pedestrian_8489299002,Point (127.0084521 37.5010977)
walkway_1724,pedestrian_4146699336,Point (126.9881033 37.4959582)
walkway_1725,pedestrian_2863416043,Point (127.0450871 37.4717244)
walkway_1726,pedestrian_2533109206,Point (126.9828711 37.4939988)
walkway_1727,pedestrian_8488872314,Point (127.0103015 37.5162968)
walkway_1728,pedestrian_3630343778,Point (127.049771 37.4725035)
walkway_1729,pedestrian_3088864938,Point (127.0172885 37.5153735)
walkway_1730,pedestrian_3827257113,Point (127.0215718 37.4839477)
walkway_1731,pedestrian_436882870,Point (126.993132 37.4800098)
walkway_1732,pedestrian_1925498694,Point (127.03119 37.4745357)
walkway_1733,pedestrian_2533109205,Point (126.9837773 37.4939645)
walkway_1734,pedestrian_4107783310,Point (126.9963924 37.486061)
walkway_1735,pedestrian_6421300539,Point (126.9984108 37.4893053)
walkway_1736,pedestrian_4101372797,Point (126.9853521 37.479878)
walkway_1737,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1738,pedestrian_3442448051,Point (127.0602947 37.4547228)
walkway_1739,pedestrian_2509978198,Point (126.9882835 37.4884738)
walkway_1740,pedestrian_4899542164,Point (127.0106934 37.5040778)
walkway_1741,pedestrian_9632500763,Point (127.0268646 37.4979738)
walkway_1742,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1743,pedestrian_8526765366,Point (127.0195128 37.4962452)
walkway_1744,pedestrian_7760193442,Point (127.0046841 37.5063008)
walkway_1745,pedestrian_5935888703,Point (126.9974425 37.4817329)
walkway_1746,pedestrian_12147442531,Point (126.9864003 37.5021971)
walkway_1747,pedestrian_12061673677,Point (127.0218479 37.5016474)
walkway_1748,pedestrian_3744265302,Point (127.0245751 37.4640353)
walkway_1749,pedestrian_11225358146,Point (127.0138837 37.5153537)
walkway_1750,pedestrian_3088864938,Point (127.0172885 37.5153735)
walkway_1751,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_1752,pedestrian_2622874658,Point (126.9898738 37.4951544)
walkway_1753,pedestrian_3442448051,Point (127.0602947 37.4547228)
walkway_1754,pedestrian_1965713684,Point (127.0127345 37.4878003)
walkway_1755,pedestrian_3827337508,Point (127.0096961 37.4837398)
walkway_1756,pedestrian_3827170312,Point (127.0271096 37.4878129)
walkway_1757,pedestrian_4101372797,Point (126.9853521 37.479878)
walkway_1758,pedestrian_11225321857,Point (127.014207 37.519852)
walkway_1759,pedestrian_1694782638,Point (127.0386293 37.4804501)
walkway_1760,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1761,pedestrian_9909895715,Point (127.0214821 37.4660254)
walkway_1762,pedestrian_3827672534,Point (127.0210691 37.5093274)
walkway_1763,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1764,pedestrian_9608955329,Point (127.0291235 37.4929408)
walkway_1765,pedestrian_11431861581,Point (127.0002777 37.477776)
walkway_1766,pedestrian_2861578303,Point (127.017848 37.5143727)
walkway_1767,pedestrian_4181527977,Point (127.0178284 37.5106366)
walkway_1768,pedestrian_4184618607,Point (127.0423919 37.4696989)
walkway_1769,pedestrian_4907534017,Point (127.011938 37.503367)
walkway_1770,pedestrian_3827170306,Point (127.0267013 37.4877003)
walkway_1771,pedestrian_9602018642,Point (127.0249271 37.4915786)
walkway_1772,pedestrian_9990177480,Point (127.0268022 37.4885524)
walkway_1773,pedestrian_7760193442,Point (127.0046841 37.5063008)
walkway_1774,pedestrian_9909895715,Point (127.0214821 37.4660254)
walkway_1775,pedestrian_8703399729,Point (127.0118823 37.4875466)
walkway_1776,pedestrian_8526765338,Point (127.0191282 37.4984105)
walkway_1777,pedestrian_2861578306,Point (127.0182848 37.5130044)
walkway_1778,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_1779,pedestrian_4181527978,Point (127.0189489 37.5109787)
walkway_1780,pedestrian_4146699336,Point (126.9881033 37.4959582)
walkway_1781,pedestrian_2533109209,Point (126.9905327 37.4942221)
walkway_1782,pedestrian_4865883235,Point (127.0305149 37.4913798)
walkway_1783,pedestrian_3827258509,Point (127.0155563 37.4875902)
walkway_1784,pedestrian_6337030227,Point (127.0315343 37.4875501)
walkway_1785,pedestrian_3827671844,Point (127.013954 37.5069239)
walkway_1786,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1787,pedestrian_3112174493,Point (127.0153218 37.4948806)
walkway_1788,pedestrian_3827548053,Point (127.0162545 37.4928658)
walkway_1789,pedestrian_8489304737,Point (127.0101337 37.5020638)
walkway_1790,pedestrian_2510009120,Point (126.9896809 37.4924719)
walkway_1791,pedestrian_436838063,Point (126.9827592 37.4909123)
walkway_1792,pedestrian_436864995,Point (127.01186 37.5016)
walkway_1793,pedestrian_2624211577,Point (126.983327 37.4909038)
walkway_1794,pedestrian_2624566097,Point (126.9898566 37.4922001)
walkway_1795,pedestrian_4946614556,Point (127.0260778 37.4992455)
walkway_1796,pedestrian_4946614556,Point (127.0260778 37.4992455)
walkway_1797,pedestrian_1925407821,Point (127.004016 37.4826516)
walkway_1798,pedestrian_1962358626,Point (127.0108823 37.5022697)
walkway_1799,pedestrian_1685686408,Point (126.9839863 37.4804911)
walkway_1800,pedestrian_10313078477,Point (127.0025698 37.5053512)
walkway_1801,pedestrian_1685716285,Point (126.9853051 37.479292)
walkway_1802,pedestrian_3092110166,Point (126.9976591 37.4826096)
walkway_1803,pedestrian_11431820835,Point (127.0060389 37.4798139)
walkway_1804,pedestrian_4185659847,Point (127.0208622 37.4869151)
walkway_1805,pedestrian_4146699336,Point (126.9881033 37.4959582)
walkway_1806,pedestrian_3827671855,Point (127.0182587 37.5073876)
walkway_1807,pedestrian_3825549669,Point (127.0280194 37.4943002)
walkway_1808,pedestrian_4185805739,Point (126.9967555 37.4861919)
walkway_1809,pedestrian_4185805739,Point (126.9967555 37.4861919)
walkway_1810,pedestrian_2624566124,Point (126.9913212 37.4875183)
walkway_1811,pedestrian_9787551398,Point (126.9972566 37.4980973)
walkway_1812,pedestrian_3804191248,Point (126.9846275 37.4908709)
walkway_1813,pedestrian_2533109211,Point (126.9890443 37.4950159)
walkway_1814,pedestrian_4185991224,Point (126.9958633 37.4803248)
walkway_1815,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_1816,pedestrian_4186016193,Point (126.9833082 37.4895547)
walkway_1817,pedestrian_3634017624,Point (127.0156209 37.4566268)
walkway_1818,pedestrian_600377854,Point (127.018434 37.5168542)
walkway_1819,pedestrian_1962358640,Point (127.0100363 37.5008999)
walkway_1820,pedestrian_12061673677,Point (127.0218479 37.5016474)
walkway_1821,pedestrian_8526765366,Point (127.0195128 37.4962452)
walkway_1822,pedestrian_3804191191,Point (126.9831596 37.4878417)
walkway_1823,pedestrian_4101372789,Point (126.9834085 37.4818133)
walkway_1824,pedestrian_3827338125,Point (127.0094573 37.489437)
walkway_1825,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1826,pedestrian_4101372802,Point (126.9826886 37.4821835)
walkway_1827,pedestrian_3827169556,Point (127.03058 37.4857805)
walkway_1828,pedestrian_1962358590,Point (127.0105465 37.4987971)
walkway_1829,pedestrian_1962358583,Point (127.010175 37.5021184)
walkway_1830,pedestrian_4185834990,Point (126.993686 37.4849737)
walkway_1831,pedestrian_11641439376,Point (127.0006324 37.504892)
walkway_1832,pedestrian_3804191248,Point (126.9846275 37.4908709)
walkway_1833,pedestrian_436844267,Point (126.9854671 37.4965596)
walkway_1834,pedestrian_11431861601,Point (127.0144681 37.4812792)
walkway_1835,pedestrian_436853883,Point (126.9981951 37.4961145)
walkway_1836,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_1837,pedestrian_3827548032,Point (127.0160456 37.4919543)
walkway_1838,pedestrian_1962358629,Point (127.010677 37.5019187)
walkway_1839,pedestrian_9787421579,Point (127.0056764 37.5063166)
walkway_1840,pedestrian_2623456127,Point (126.9939566 37.4937729)
walkway_1841,pedestrian_3804191186,Point (126.9859903 37.4875102)
walkway_1842,pedestrian_3804191051,Point (126.9872158 37.4862748)
walkway_1843,pedestrian_4186016192,Point (126.9832626 37.4882877)
walkway_1844,pedestrian_1925407821,Point (127.004016 37.4826516)
walkway_1845,pedestrian_12061668098,Point (127.0118276 37.5024663)
walkway_1846,pedestrian_11428504914,Point (127.0069391 37.507027)
walkway_1847,pedestrian_4634374794,Point (127.0107641 37.512577)
walkway_1848,pedestrian_1430655021,Point (127.0245976 37.5002326)
walkway_1849,pedestrian_3827170312,Point (127.0271096 37.4878129)
walkway_1850,pedestrian_3242828917,Point (126.9859904 37.4875291)
walkway_1851,pedestrian_4185991236,Point (126.9856779 37.4820282)
walkway_1852,pedestrian_2655472846,Point (127.019605 37.4858535)
walkway_1853,pedestrian_11641428828,Point (127.0035678 37.5056944)
walkway_1854,pedestrian_8489299002,Point (127.0084521 37.5010977)
walkway_1855,pedestrian_2533109229,Point (126.985241 37.4974979)
walkway_1856,pedestrian_12061668098,Point (127.0118276 37.5024663)
walkway_1857,pedestrian_8526765338,Point (127.0191282 37.4984105)
walkway_1858,pedestrian_4946614556,Point (127.0260778 37.4992455)
walkway_1859,pedestrian_1962358629,Point (127.010677 37.5019187)
walkway_1860,pedestrian_1696934761,Point (126.9922651 37.4872407)
walkway_1861,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_1862,pedestrian_436837539,Point (127.0466911 37.47238)
walkway_1863,pedestrian_1962358596,Point (127.0113085 37.5012701)
walkway_1864,pedestrian_3089166485,Point (127.0085866 37.4883033)
walkway_1865,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_1866,pedestrian_11431820835,Point (127.0060389 37.4798139)
walkway_1867,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1868,pedestrian_8488812126,Point (127.0089094 37.5133173)
walkway_1869,pedestrian_562451052,Point (127.0252014 37.4701382)
walkway_1870,pedestrian_2533109229,Point (126.985241 37.4974979)
walkway_1871,pedestrian_11428505004,Point (127.001081 37.505564)
walkway_1872,pedestrian_12062601379,Point (127.0220301 37.5024931)
walkway_1873,pedestrian_3804191249,Point (126.9850797 37.4908568)
walkway_1874,pedestrian_4185715634,Point (127.0062976 37.4825472)
walkway_1875,pedestrian_3827338116,Point (127.0101919 37.4888822)
walkway_1876,pedestrian_11428505004,Point (127.001081 37.505564)
walkway_1877,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_1878,pedestrian_3072865233,Point (127.0186854 37.4972507)
walkway_1879,pedestrian_3804191186,Point (126.9859903 37.4875102)
walkway_1880,pedestrian_11225312049,Point (127.0155038 37.5207311)
walkway_1881,pedestrian_11428505004,Point (127.001081 37.505564)
walkway_1882,pedestrian_3804191177,Point (126.9842205 37.4870968)
walkway_1883,pedestrian_4946614556,Point (127.0260778 37.4992455)
walkway_1884,pedestrian_3092110166,Point (126.9976591 37.4826096)
walkway_1885,pedestrian_4185715621,Point (127.0058814 37.4817311)
walkway_1886,pedestrian_11428504872,Point (126.9971957 37.499474)
walkway_1887,pedestrian_4185991264,Point (126.984831 37.4792996)
walkway_1888,pedestrian_2863416043,Point (127.0450871 37.4717244)
walkway_1889,pedestrian_1962358583,Point (127.010175 37.5021184)
walkway_1890,pedestrian_11428505004,Point (127.001081 37.505564)
walkway_1891,pedestrian_4182209840,Point (127.0234403 37.5045728)
walkway_1892,pedestrian_8489062935,Point (127.0096832 37.5030681)
walkway_1893,pedestrian_1962358630,Point (127.008857 37.5038193)
walkway_1894,pedestrian_2295372337,Point (127.019316 37.4948209)
walkway_1895,pedestrian_4867334962,Point (127.0233012 37.5063912)
walkway_1896,pedestrian_4146924168,Point (127.001532 37.5095641)
walkway_1897,pedestrian_3804191169,Point (126.9878076 37.4866884)
walkway_1898,pedestrian_8526765338,Point (127.0191282 37.4984105)
walkway_1899,pedestrian_1925407817,Point (127.0042489 37.4819932)
walkway_1900,pedestrian_3827337507,Point (127.0089235 37.4835923)
walkway_1901,pedestrian_2533109193,Point (126.9827787 37.4916643)
walkway_1902,pedestrian_436837539,Point (127.0466911 37.47238)
walkway_1903,pedestrian_2932857700,Point (127.0145778 37.4931582)
walkway_1904,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_1905,pedestrian_1430655022,Point (127.0255526 37.5005219)
walkway_1906,pedestrian_3827548014,Point (127.011444 37.4914341)
walkway_1907,pedestrian_3827548027,Point (127.0124916 37.4918514)
walkway_1908,pedestrian_11428504985,Point (127.0061335 37.5067796)
walkway_1909,pedestrian_4185991264,Point (126.984831 37.4792996)
walkway_1910,pedestrian_1962358640,Point (127.0100363 37.5008999)
walkway_1911,pedestrian_8486132575,Point (126.9910767 37.4744717)
walkway_1912,pedestrian_1925407821,Point (127.004016 37.4826516)
walkway_1913,pedestrian_11428504985,Point (127.0061335 37.5067796)
walkway_1914,pedestrian_4146924168,Point (127.001532 37.5095641)
walkway_1915,pedestrian_1962358609,Point (127.0091974 37.4986412)
walkway_1916,pedestrian_4314788898,Point (127.0861829 37.4696092)
walkway_1917,pedestrian_595780360,Point (127.0170959 37.5225608)
walkway_1918,pedestrian_5987947879,Point (127.0164022 37.5229793)
walkway_1919,pedestrian_7996340645,Point (127.0163523 37.4839437)
walkway_1920,pedestrian_9787414078,Point (127.0030326 37.5042621)
