uuid,vehicle_entrance_uuid,geometry
vehicle_1384,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_1385,localroad_2533109214,Point (126.9837759 37.4951983)
vehicle_1386,localroad_1962358589,Point (127.0116707 37.4997092)
vehicle_1387,localroad_1962358629,Point (127.010677 37.5019187)
vehicle_1388,localroad_2511519000,Point (126.989556 37.4902572)
vehicle_1389,localroad_1430655018,Point (127.0247036 37.502368)
vehicle_1390,localroad_436841230,Point (127.0137152 37.5151987)
vehicle_1391,localroad_2624211585,Point (126.9893352 37.4930117)
vehicle_1392,localroad_4147053966,Point (127.0059882 37.5070592)
vehicle_1393,localroad_3804191208,Point (126.9874172 37.4885948)
vehicle_1394,localroad_1685686413,Point (126.9860017 37.4858222)
vehicle_1395,localroad_12147442531,Point (126.9864003 37.5021971)
vehicle_1396,localroad_2533109223,Point (126.9830425 37.4964934)
vehicle_1397,localroad_436864995,Point (127.01186 37.5016)
vehicle_1398,localroad_1962358617,Point (127.0093392 37.5037131)
vehicle_1399,localroad_3804191157,Point (126.9853341 37.4864029)
vehicle_1400,localroad_2624211580,Point (126.9854601 37.4911341)
vehicle_1401,localroad_4309768669,Point (126.9850479 37.4875528)
vehicle_1402,localroad_2624211562,Point (126.985883 37.4926435)
vehicle_1403,localroad_3800522729,Point (127.0248944 37.4914934)
vehicle_1404,localroad_1132441037,Point (127.0010373 37.5108066)
vehicle_1405,localroad_2533109194,Point (126.9837325 37.4918781)
vehicle_1406,localroad_4147017218,Point (127.0078686 37.5076354)
vehicle_1407,localroad_2624566095,Point (126.988803 37.4921395)
vehicle_1408,localroad_8494357194,Point (127.0260582 37.4866645)
vehicle_1409,localroad_4184618615,Point (127.0447961 37.4693871)
vehicle_1410,localroad_4185715638,Point (127.0089969 37.4821111)
vehicle_1411,localroad_2622713691,Point (126.9983159 37.4992582)
vehicle_1412,localroad_1962358614,Point (127.0093502 37.5008791)
vehicle_1413,localroad_436864995,Point (127.01186 37.5016)
vehicle_1414,localroad_12147442531,Point (126.9864003 37.5021971)
vehicle_1415,localroad_4309768669,Point (126.9850479 37.4875528)
vehicle_1416,localroad_1962358590,Point (127.0105465 37.4987971)
vehicle_1417,localroad_3827170304,Point (127.0267818 37.4875241)
vehicle_1418,localroad_5092061478,Point (127.0595492 37.4571518)
vehicle_1419,localroad_1962358626,Point (127.0108823 37.5022697)
vehicle_1420,localroad_4634817093,Point (127.0221475 37.4668874)
vehicle_1421,localroad_4899542143,Point (127.0150808 37.50435)
vehicle_1422,localroad_3827337507,Point (127.0089235 37.4835923)
vehicle_1423,localroad_436854296,Point (127.0058694 37.479912)
vehicle_1424,localroad_8489517966,Point (127.0179359 37.5142122)
vehicle_1425,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1426,localroad_1962358630,Point (127.008857 37.5038193)
vehicle_1427,localroad_3355067044,Point (127.009728 37.4924628)
vehicle_1428,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_1429,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1430,localroad_2624211585,Point (126.9893352 37.4930117)
vehicle_1431,localroad_8499187874,Point (127.0468182 37.4690492)
vehicle_1432,localroad_3827169867,Point (127.0303015 37.4858686)
vehicle_1433,localroad_1962358636,Point (127.0099907 37.4995893)
vehicle_1434,localroad_2533109200,Point (126.9889672 37.4935864)
vehicle_1435,localroad_5092061497,Point (127.0606023 37.4546071)
vehicle_1436,localroad_3744265307,Point (127.0259381 37.4646358)
vehicle_1437,localroad_1694784262,Point (127.0405981 37.4849352)
vehicle_1438,localroad_436882882,Point (127.00446 37.48274)
vehicle_1439,localroad_8487538012,Point (127.0068179 37.5073134)
vehicle_1440,localroad_9047231556,Point (127.0284079 37.4654486)
vehicle_1441,localroad_4147017218,Point (127.0078686 37.5076354)
vehicle_1442,localroad_3274307602,Point (126.996645 37.4841716)
vehicle_1443,localroad_3112865087,Point (127.0187886 37.49564)
vehicle_1444,localroad_3827258509,Point (127.0155563 37.4875902)
vehicle_1445,localroad_2623456183,Point (126.9925379 37.4908122)
vehicle_1446,localroad_12147442531,Point (126.9864003 37.5021971)
vehicle_1447,localroad_436854331,Point (127.02421 37.4969787)
vehicle_1448,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_1449,localroad_3800522729,Point (127.0248944 37.4914934)
vehicle_1450,localroad_2624211606,Point (126.9883316 37.4933273)
vehicle_1451,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_1452,localroad_4181527977,Point (127.0178284 37.5106366)
vehicle_1453,localroad_2861578303,Point (127.017848 37.5143727)
vehicle_1454,localroad_3825549669,Point (127.0280194 37.4943002)
vehicle_1455,localroad_1962358640,Point (127.0100363 37.5008999)
vehicle_1456,localroad_436854331,Point (127.02421 37.4969787)
vehicle_1457,localroad_2622874656,Point (126.9900713 37.4951043)
vehicle_1458,localroad_3827257149,Point (127.0167957 37.4855765)
vehicle_1459,localroad_3800522741,Point (127.0233182 37.494795)
vehicle_1460,localroad_1132502928,Point (127.0011535 37.5011974)
vehicle_1461,localroad_3827170304,Point (127.0267818 37.4875241)
vehicle_1462,localroad_3287124661,Point (126.9997066 37.4805448)
vehicle_1463,localroad_2477340264,Point (127.0218367 37.5084056)
vehicle_1464,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_1465,localroad_3804191248,Point (126.9846275 37.4908709)
vehicle_1466,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1467,localroad_1962358626,Point (127.0108823 37.5022697)
vehicle_1468,localroad_4185715633,Point (127.005926 37.482552)
vehicle_1469,localroad_1962358623,Point (127.0101882 37.503944)
vehicle_1470,localroad_1685686419,Point (126.9852062 37.4773714)
vehicle_1471,localroad_1430677314,Point (127.0050829 37.4814845)
vehicle_1472,localroad_3825549659,Point (127.0289835 37.4910256)
vehicle_1473,localroad_1962358589,Point (127.0116707 37.4997092)
vehicle_1474,localroad_2533109229,Point (126.985241 37.4974979)
vehicle_1475,localroad_1925498408,Point (127.0393131 37.4719634)
vehicle_1476,localroad_600377854,Point (127.018434 37.5168542)
vehicle_1477,localroad_1965713723,Point (127.0142296 37.486372)
vehicle_1478,localroad_3112865087,Point (127.0187886 37.49564)
vehicle_1479,localroad_2477265753,Point (127.0200649 37.5101355)
vehicle_1480,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1481,localroad_4899542164,Point (127.0106934 37.5040778)
vehicle_1482,localroad_1962358629,Point (127.010677 37.5019187)
vehicle_1483,localroad_2622810001,Point (126.9976503 37.4978263)
vehicle_1484,localroad_4184399721,Point (127.0378371 37.4841992)
vehicle_1485,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1486,localroad_3825549659,Point (127.0289835 37.4910256)
vehicle_1487,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1488,localroad_3112174491,Point (127.014187 37.494527)
vehicle_1489,localroad_2622874656,Point (126.9900713 37.4951043)
vehicle_1490,localroad_1925498403,Point (127.0454708 37.4718644)
vehicle_1491,localroad_2622809978,Point (126.9973491 37.4996919)
vehicle_1492,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_1493,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_1494,localroad_1962358624,Point (127.0111519 37.5026988)
vehicle_1495,localroad_3827337508,Point (127.0096961 37.4837398)
vehicle_1496,localroad_1962358630,Point (127.008857 37.5038193)
vehicle_1497,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_1498,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1499,localroad_3092109566,Point (126.9970753 37.483539)
vehicle_1500,localroad_1925498576,Point (127.043055 37.4735143)
vehicle_1501,localroad_4184618642,Point (127.0461057 37.4725301)
vehicle_1502,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_1503,localroad_4185715633,Point (127.005926 37.482552)
vehicle_1504,localroad_3827547991,Point (127.0125773 37.4899623)
vehicle_1505,localroad_4185715626,Point (127.0062434 37.48171)
vehicle_1506,localroad_3827548475,Point (127.0189385 37.4942201)
vehicle_1507,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_1508,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_1509,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_1510,localroad_4944067989,Point (127.0252056 37.4989723)
vehicle_1511,localroad_4185991284,Point (126.985433 37.4816028)
vehicle_1512,localroad_3242828917,Point (126.9859904 37.4875291)
vehicle_1513,localroad_3827338153,Point (127.0063049 37.4913953)
vehicle_1514,localroad_3827338153,Point (127.0063049 37.4913953)
vehicle_1515,localroad_3827608188,Point (127.0193423 37.5036176)
vehicle_1516,localroad_3827170303,Point (127.0267984 37.4874932)
vehicle_1517,localroad_4899542143,Point (127.0150808 37.50435)
vehicle_1518,localroad_3825549664,Point (127.0290187 37.4927368)
vehicle_1519,localroad_3089746775,Point (127.0111763 37.4814736)
vehicle_1520,localroad_4184070814,Point (127.0282642 37.4925089)
vehicle_1521,localroad_3112174491,Point (127.014187 37.494527)
vehicle_1522,localroad_2622809999,Point (126.9970275 37.4987243)
vehicle_1523,localroad_1685716274,Point (126.9840998 37.4826849)
vehicle_1524,localroad_2690624934,Point (127.0255187 37.4963641)
vehicle_1525,localroad_8486796673,Point (127.0006442 37.5047555)
vehicle_1526,localroad_4634773820,Point (127.0210159 37.4655086)
vehicle_1527,localroad_1430655018,Point (127.0247036 37.502368)
vehicle_1528,localroad_2861309343,Point (127.0188254 37.5152605)
vehicle_1529,localroad_3088864940,Point (127.0160964 37.5149928)
vehicle_1530,localroad_436841230,Point (127.0137152 37.5151987)
vehicle_1531,localroad_4185991245,Point (126.9852777 37.4787517)
vehicle_1532,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_1533,localroad_3744265302,Point (127.0245751 37.4640353)
vehicle_1534,localroad_3355067063,Point (127.017902 37.4949593)
vehicle_1535,localroad_4195788589,Point (126.9828701 37.4937761)
vehicle_1536,localroad_1962358589,Point (127.0116707 37.4997092)
vehicle_1537,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1538,localroad_2533109224,Point (126.9861298 37.4966646)
vehicle_1539,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_1540,localroad_2932857700,Point (127.0145778 37.4931582)
vehicle_1541,localroad_1925407818,Point (127.0047655 37.4821243)
vehicle_1542,localroad_4185816724,Point (127.0006484 37.4781149)
vehicle_1543,localroad_3804191190,Point (126.9864449 37.4877163)
vehicle_1544,localroad_3011650435,Point (127.0433528 37.4746306)
vehicle_1545,localroad_3827548497,Point (127.0141856 37.4968824)
vehicle_1546,localroad_3634017624,Point (127.0156209 37.4566268)
vehicle_1547,localroad_1430655026,Point (127.0217224 37.5021744)
vehicle_1548,localroad_4181527978,Point (127.0189489 37.5109787)
vehicle_1549,localroad_1430674330,Point (127.0073801 37.4832934)
vehicle_1550,localroad_2622713683,Point (126.9983333 37.4977959)
vehicle_1551,localroad_4984575366,Point (126.9826306 37.4892375)
vehicle_1552,localroad_2533109226,Point (126.9876055 37.4972613)
vehicle_1553,localroad_2861309349,Point (127.0190906 37.512141)
vehicle_1554,localroad_436864995,Point (127.01186 37.5016)
vehicle_1555,localroad_1696934651,Point (127.0007257 37.4767494)
vehicle_1556,localroad_436841230,Point (127.0137152 37.5151987)
vehicle_1557,localroad_1962358636,Point (127.0099907 37.4995893)
vehicle_1558,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_1559,localroad_2622713681,Point (126.9982812 37.4969427)
vehicle_1560,localroad_2388037861,Point (127.0104481 37.4909964)
vehicle_1561,localroad_1696934644,Point (126.9875753 37.476164)
vehicle_1562,localroad_2861309353,Point (127.0195732 37.5111674)
vehicle_1563,localroad_2861410666,Point (127.0095713 37.5162598)
vehicle_1564,localroad_4107783314,Point (126.9979936 37.4859163)
vehicle_1565,localroad_3719486100,Point (126.9963022 37.4845936)
vehicle_1566,localroad_2861410666,Point (127.0095713 37.5162598)
vehicle_1567,localroad_1925380075,Point (127.0339953 37.473851)
vehicle_1568,localroad_4738140916,Point (127.0009618 37.5055294)
vehicle_1569,localroad_4184399724,Point (127.0357379 37.4840218)
vehicle_1570,localroad_3112865087,Point (127.0187886 37.49564)
vehicle_1571,localroad_436838063,Point (126.9827592 37.4909123)
vehicle_1572,localroad_1694783330,Point (127.0414879 37.4835766)
vehicle_1573,localroad_2110341086,Point (126.986678 37.4773756)
vehicle_1574,localroad_1925407817,Point (127.0042489 37.4819932)
vehicle_1575,localroad_5092061478,Point (127.0595492 37.4571518)
vehicle_1576,localroad_11641428829,Point (127.0048158 37.5060798)
vehicle_1577,localroad_3825549664,Point (127.0290187 37.4927368)
vehicle_1578,localroad_1696934644,Point (126.9875753 37.476164)
vehicle_1579,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_1580,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1581,localroad_3827169531,Point (127.0316171 37.4854699)
vehicle_1582,localroad_2533109203,Point (126.9897546 37.4939073)
vehicle_1583,localroad_1925498403,Point (127.0454708 37.4718644)
vehicle_1584,localroad_1858938797,Point (127.036278 37.4752858)
vehicle_1585,localroad_4181527979,Point (127.0185658 37.5118019)
vehicle_1586,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1587,localroad_3827548457,Point (127.0084843 37.4932032)
vehicle_1588,localroad_436876714,Point (127.0229531 37.4627197)
vehicle_1589,localroad_1430679233,Point (127.0130608 37.4819712)
vehicle_1590,localroad_436844219,Point (126.9964804 37.4832788)
vehicle_1591,localroad_3827169492,Point (127.030352 37.4851377)
vehicle_1592,localroad_2477340257,Point (127.0220042 37.5044111)
vehicle_1593,localroad_4185702108,Point (127.0094465 37.4912752)
vehicle_1594,localroad_3825549669,Point (127.0280194 37.4943002)
vehicle_1595,localroad_4184618628,Point (127.0400862 37.4729978)
vehicle_1596,localroad_2533109219,Point (126.9883078 37.4961653)
vehicle_1597,localroad_2533109219,Point (126.9883078 37.4961653)
vehicle_1598,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1599,localroad_2477374752,Point (127.0185706 37.5101954)
vehicle_1600,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_1601,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1602,localroad_3827547993,Point (127.0135559 37.4905388)
vehicle_1603,localroad_1962358584,Point (127.0103622 37.5036219)
vehicle_1604,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_1605,localroad_1962358614,Point (127.0093502 37.5008791)
vehicle_1606,localroad_3690640324,Point (127.0320391 37.4883762)
vehicle_1607,localroad_3825549659,Point (127.0289835 37.4910256)
vehicle_1608,localroad_3827170303,Point (127.0267984 37.4874932)
vehicle_1609,localroad_2863416043,Point (127.0450871 37.4717244)
vehicle_1610,localroad_2551950254,Point (126.9867077 37.4983133)
vehicle_1611,localroad_1430655018,Point (127.0247036 37.502368)
vehicle_1612,localroad_2623345914,Point (126.9946976 37.4923286)
vehicle_1613,localroad_3827258466,Point (127.0190295 37.4864223)
vehicle_1614,localroad_3827258466,Point (127.0190295 37.4864223)
vehicle_1615,localroad_3825549659,Point (127.0289835 37.4910256)
vehicle_1616,localroad_4185834991,Point (126.9943157 37.4852297)
vehicle_1617,localroad_4954438710,Point (127.0141025 37.5198655)
vehicle_1618,localroad_4185991244,Point (126.98217 37.4844705)
vehicle_1619,localroad_414684380,Point (126.9904803 37.4927747)
vehicle_1620,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1621,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_1622,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_1623,localroad_2510009120,Point (126.9896809 37.4924719)
vehicle_1624,localroad_3825549669,Point (127.0280194 37.4943002)
vehicle_1625,localroad_2533109203,Point (126.9897546 37.4939073)
vehicle_1626,localroad_2295372337,Point (127.019316 37.4948209)
vehicle_1627,localroad_3547291980,Point (127.0555491 37.4486533)
vehicle_1628,localroad_2533109191,Point (126.9855258 37.490912)
vehicle_1629,localroad_1132502928,Point (127.0011535 37.5011974)
vehicle_1630,localroad_2624211580,Point (126.9854601 37.4911341)
vehicle_1631,localroad_2863416043,Point (127.0450871 37.4717244)
vehicle_1632,localroad_11641428831,Point (126.995199 37.5031505)
vehicle_1633,localroad_2477265753,Point (127.0200649 37.5101355)
vehicle_1634,localroad_3827170276,Point (127.0316269 37.4870324)
vehicle_1635,localroad_3827170304,Point (127.0267818 37.4875241)
vehicle_1636,localroad_3112865087,Point (127.0187886 37.49564)
vehicle_1637,localroad_1445606439,Point (127.0016021 37.5057151)
vehicle_1638,localroad_1430679237,Point (127.0143913 37.4811307)
vehicle_1639,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_1640,localroad_1962358636,Point (127.0099907 37.4995893)
vehicle_1641,localroad_436844215,Point (126.998817 37.4796936)
vehicle_1642,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_1643,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_1644,localroad_1696934758,Point (126.9929782 37.4860655)
vehicle_1645,localroad_436882882,Point (127.00446 37.48274)
vehicle_1646,localroad_3690640321,Point (127.0301884 37.4884991)
vehicle_1647,localroad_4899542143,Point (127.0150808 37.50435)
vehicle_1648,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1649,localroad_2690624930,Point (127.0246032 37.496147)
vehicle_1650,localroad_3827257132,Point (127.0209597 37.4848339)
vehicle_1651,localroad_3112159933,Point (127.0175285 37.498569)
vehicle_1652,localroad_11641439376,Point (127.0006324 37.504892)
vehicle_1653,localroad_11641439376,Point (127.0006324 37.504892)
vehicle_1654,localroad_11641439376,Point (127.0006324 37.504892)
vehicle_1655,localroad_4184618641,Point (127.0421907 37.475479)
vehicle_1656,localroad_571448678,Point (127.0284792 37.4944511)
vehicle_1657,localroad_1685686596,Point (126.9839232 37.4787916)
vehicle_1658,localroad_1962358629,Point (127.010677 37.5019187)
vehicle_1659,localroad_1925407817,Point (127.0042489 37.4819932)
vehicle_1660,localroad_3800522728,Point (127.0221028 37.4913836)
vehicle_1661,localroad_2533109231,Point (126.9862347 37.497781)
vehicle_1662,localroad_1962358636,Point (127.0099907 37.4995893)
vehicle_1663,localroad_2863416048,Point (127.0461206 37.4720774)
vehicle_1664,localroad_3827672518,Point (127.0198436 37.5089519)
vehicle_1665,localroad_3827672518,Point (127.0198436 37.5089519)
vehicle_1666,localroad_4185626617,Point (127.0129813 37.5192765)
vehicle_1667,localroad_2280678683,Point (127.0267729 37.4994695)
vehicle_1668,localroad_11641439376,Point (127.0006324 37.504892)
vehicle_1669,localroad_3825549659,Point (127.0289835 37.4910256)
vehicle_1670,localroad_1925498480,Point (127.0475944 37.472963)
vehicle_1671,localroad_11641439376,Point (127.0006324 37.504892)
vehicle_1672,localroad_3112865087,Point (127.0187886 37.49564)
vehicle_1673,localroad_3112159933,Point (127.0175285 37.498569)
vehicle_1674,localroad_1962358623,Point (127.0101882 37.503944)
vehicle_1675,localroad_1962358629,Point (127.010677 37.5019187)
vehicle_1676,localroad_3825549664,Point (127.0290187 37.4927368)
vehicle_1677,localroad_3089745863,Point (127.0129972 37.4811565)
vehicle_1678,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1679,localroad_11641439376,Point (127.0006324 37.504892)
vehicle_1680,localroad_4181527973,Point (127.0191068 37.5122188)
vehicle_1681,localroad_1445606439,Point (127.0016021 37.5057151)
vehicle_1682,localroad_1962358583,Point (127.010175 37.5021184)
vehicle_1683,localroad_1962358617,Point (127.0093392 37.5037131)
vehicle_1684,localroad_1962358583,Point (127.010175 37.5021184)
vehicle_1685,localroad_2280678683,Point (127.0267729 37.4994695)
vehicle_1686,localroad_1685686572,Point (126.9854857 37.4826478)
vehicle_1687,localroad_436844267,Point (126.9854671 37.4965596)
vehicle_1688,localroad_2295372338,Point (127.019529 37.4944069)
vehicle_1689,localroad_2690624930,Point (127.0246032 37.496147)
vehicle_1690,localroad_1962358636,Point (127.0099907 37.4995893)
vehicle_1691,localroad_436837539,Point (127.0466911 37.47238)
vehicle_1692,localroad_3827170295,Point (127.0287816 37.4873767)
vehicle_1693,localroad_2623317176,Point (127.0017322 37.4960129)
vehicle_1694,localroad_4185835029,Point (126.9961644 37.4823227)
vehicle_1695,localroad_2244637696,Point (127.0187917 37.515873)
vehicle_1696,localroad_3690640327,Point (127.0293102 37.4861768)
vehicle_1697,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1698,localroad_3827548023,Point (127.0132737 37.4916509)
vehicle_1699,localroad_4147017218,Point (127.0078686 37.5076354)
vehicle_1700,localroad_1962358596,Point (127.0113085 37.5012701)
vehicle_1701,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1702,localroad_4899542164,Point (127.0106934 37.5040778)
vehicle_1703,localroad_4984365472,Point (127.0225295 37.5082729)
vehicle_1704,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_1705,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1706,localroad_8487538014,Point (127.0076217 37.5075597)
vehicle_1707,localroad_2295365616,Point (127.0205339 37.4914963)
vehicle_1708,localroad_2861309353,Point (127.0195732 37.5111674)
vehicle_1709,localroad_4634291424,Point (127.0207995 37.4920813)
vehicle_1710,localroad_4185715621,Point (127.0058814 37.4817311)
vehicle_1711,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_1712,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1713,localroad_4185920046,Point (126.9865145 37.477017)
vehicle_1714,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_1715,localroad_1430655015,Point (127.0234219 37.5027062)
vehicle_1716,localroad_2623456112,Point (126.9922055 37.4913182)
vehicle_1717,localroad_2533109200,Point (126.9889672 37.4935864)
vehicle_1718,localroad_1962358609,Point (127.0091974 37.4986412)
vehicle_1719,localroad_8486796673,Point (127.0006442 37.5047555)
vehicle_1720,localroad_8486796673,Point (127.0006442 37.5047555)
vehicle_1721,localroad_11641428828,Point (127.0035678 37.5056944)
vehicle_1722,localroad_1430655026,Point (127.0217224 37.5021744)
vehicle_1723,localroad_1962358614,Point (127.0093502 37.5008791)
vehicle_1724,localroad_2533109219,Point (126.9883078 37.4961653)
vehicle_1725,localroad_2863416043,Point (127.0450871 37.4717244)
vehicle_1726,localroad_2533109206,Point (126.9828711 37.4939988)
vehicle_1727,localroad_2861410666,Point (127.0095713 37.5162598)
vehicle_1728,localroad_3630343778,Point (127.049771 37.4725035)
vehicle_1729,localroad_3088864938,Point (127.0172885 37.5153735)
vehicle_1730,localroad_3827257113,Point (127.0215718 37.4839477)
vehicle_1731,localroad_436882870,Point (126.993132 37.4800098)
vehicle_1732,localroad_436801370,Point (127.0307069 37.4737864)
vehicle_1733,localroad_2533109205,Point (126.9837773 37.4939645)
vehicle_1734,localroad_4107783310,Point (126.9963924 37.486061)
vehicle_1735,localroad_6421300539,Point (126.9984108 37.4893053)
vehicle_1736,localroad_4101372797,Point (126.9853521 37.479878)
vehicle_1737,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_1738,localroad_3442448051,Point (127.0602947 37.4547228)
vehicle_1739,localroad_2509978198,Point (126.9882835 37.4884738)
vehicle_1740,localroad_4899542164,Point (127.0106934 37.5040778)
vehicle_1741,localroad_3101791329,Point (127.0272447 37.4984526)
vehicle_1742,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_1743,localroad_3112865087,Point (127.0187886 37.49564)
vehicle_1744,localroad_11641428829,Point (127.0048158 37.5060798)
vehicle_1745,localroad_5935888703,Point (126.9974425 37.4817329)
vehicle_1746,localroad_12147442531,Point (126.9864003 37.5021971)
vehicle_1747,localroad_1430655026,Point (127.0217224 37.5021744)
vehicle_1748,localroad_3744265302,Point (127.0245751 37.4640353)
vehicle_1749,localroad_436841230,Point (127.0137152 37.5151987)
vehicle_1750,localroad_3088864938,Point (127.0172885 37.5153735)
vehicle_1751,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_1752,localroad_2622874644,Point (126.9894149 37.4952181)
vehicle_1753,localroad_3442448051,Point (127.0602947 37.4547228)
vehicle_1754,localroad_1965713684,Point (127.0127345 37.4878003)
vehicle_1755,localroad_3827337508,Point (127.0096961 37.4837398)
vehicle_1756,localroad_3827170304,Point (127.0267818 37.4875241)
vehicle_1757,localroad_4101372797,Point (126.9853521 37.479878)
vehicle_1758,localroad_4954438710,Point (127.0141025 37.5198655)
vehicle_1759,localroad_1694782638,Point (127.0386293 37.4804501)
vehicle_1760,localroad_11641439376,Point (127.0006324 37.504892)
vehicle_1761,localroad_4634773820,Point (127.0210159 37.4655086)
vehicle_1762,localroad_3827672534,Point (127.0210691 37.5093274)
vehicle_1763,localroad_11641439376,Point (127.0006324 37.504892)
vehicle_1764,localroad_3825549664,Point (127.0290187 37.4927368)
vehicle_1765,localroad_1696934669,Point (126.999993 37.4778685)
vehicle_1766,localroad_2861578303,Point (127.017848 37.5143727)
vehicle_1767,localroad_4181527977,Point (127.0178284 37.5106366)
vehicle_1768,localroad_4184618607,Point (127.0423919 37.4696989)
vehicle_1769,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_1770,localroad_3827170304,Point (127.0267818 37.4875241)
vehicle_1771,localroad_3800522729,Point (127.0248944 37.4914934)
vehicle_1772,localroad_414684345,Point (127.0282365 37.4885147)
vehicle_1773,localroad_11641428829,Point (127.0048158 37.5060798)
vehicle_1774,localroad_4634773820,Point (127.0210159 37.4655086)
vehicle_1775,localroad_8703399729,Point (127.0118823 37.4875466)
vehicle_1776,localroad_3112159933,Point (127.0175285 37.498569)
vehicle_1777,localroad_2861578306,Point (127.0182848 37.5130044)
vehicle_1778,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_1779,localroad_4181527978,Point (127.0189489 37.5109787)
vehicle_1780,localroad_2533109219,Point (126.9883078 37.4961653)
vehicle_1781,localroad_2533109209,Point (126.9905327 37.4942221)
vehicle_1782,localroad_3826341157,Point (127.0304381 37.4898085)
vehicle_1783,localroad_3827258509,Point (127.0155563 37.4875902)
vehicle_1784,localroad_3827170276,Point (127.0316269 37.4870324)
vehicle_1785,localroad_4899542143,Point (127.0150808 37.50435)
vehicle_1786,localroad_11641439376,Point (127.0006324 37.504892)
vehicle_1787,localroad_3112174493,Point (127.0153218 37.4948806)
vehicle_1788,localroad_3827548053,Point (127.0162545 37.4928658)
vehicle_1789,localroad_1962358583,Point (127.010175 37.5021184)
vehicle_1790,localroad_2510009120,Point (126.9896809 37.4924719)
vehicle_1791,localroad_436838063,Point (126.9827592 37.4909123)
vehicle_1792,localroad_436864995,Point (127.01186 37.5016)
vehicle_1793,localroad_2624211577,Point (126.983327 37.4909038)
vehicle_1794,localroad_2510009120,Point (126.9896809 37.4924719)
vehicle_1795,localroad_2280678683,Point (127.0267729 37.4994695)
vehicle_1796,localroad_8489896381,Point (127.0269036 37.497806)
vehicle_1797,localroad_1925407821,Point (127.004016 37.4826516)
vehicle_1798,localroad_1962358626,Point (127.0108823 37.5022697)
vehicle_1799,localroad_1685686408,Point (126.9839863 37.4804911)
vehicle_1800,localroad_1445606439,Point (127.0016021 37.5057151)
vehicle_1801,localroad_1685716285,Point (126.9853051 37.479292)
vehicle_1802,localroad_4185835030,Point (126.9973292 37.4819279)
vehicle_1803,localroad_436854296,Point (127.0058694 37.479912)
vehicle_1804,localroad_4185659847,Point (127.0208622 37.4869151)
vehicle_1805,localroad_2533109219,Point (126.9883078 37.4961653)
vehicle_1806,localroad_2477337865,Point (127.0180051 37.5071703)
vehicle_1807,localroad_3825549669,Point (127.0280194 37.4943002)
vehicle_1808,localroad_4185805739,Point (126.9967555 37.4861919)
vehicle_1809,localroad_4185805739,Point (126.9967555 37.4861919)
vehicle_1810,localroad_2624566124,Point (126.9913212 37.4875183)
vehicle_1811,localroad_2622810001,Point (126.9976503 37.4978263)
